Item Fat Content,Item Identifier,Item Type,Outlet Establishment Year,Outlet Identifier,Outlet Location Type,Outlet Size,Outlet Type,Item Visibility,Item Weight,Sales,Rating
Low Fat,FDO23,Breads,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.14702,17.85,93.7436,5
Low Fat,NCB07,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07763,19.2,197.611,5
Low Fat,FDJ56,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.18251,,98.77,5
Low Fat,DRN47,Hard Drinks,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.0169,12.1,178.566,5
Regular,FDZ07,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0,,60.2194,5
Low Fat,NCK31,Others,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.02692,,50.9666,5
Low Fat,FDJ41,Frozen Foods,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.02298,6.85,261.6594,5
Low Fat,DRI51,Dairy,2022,OUT018,Tier 3,Medium,Supermarket Type2,0.04241,17.25,173.1764,5
Regular,FDC40,Dairy,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.06543,16,76.1986,5
Low Fat,FDB53,Frozen Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.14024,13.35,150.2392,5
Low Fat,FDA16,Frozen Foods,2017,OUT035,Tier 2,Small,Supermarket Type1,0.03394,6.695,221.9456,5
Regular,FDO19,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01652,,47.4034,5
Low Fat,FDO04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02654,16.6,57.2614,5
Regular,FDL25,Breakfast,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.13113,6.92,93.1804,5
Low Fat,NCJ30,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08064,5.82,167.779,5
Low Fat,NCQ41,Health and Hygiene,2014,OUT013,Tier 3,High,Supermarket Type1,0.01946,14.8,196.3794,5
Low Fat,DRJ35,Hard Drinks,2014,OUT013,Tier 3,High,Supermarket Type1,0.04655,10.1,59.9878,5
Low Fat,NCE31,Household,2014,OUT013,Tier 3,High,Supermarket Type1,0.18469,7.67,35.4216,5
Low Fat,FDY09,Snack Foods,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.02534,15.6,174.3054,5
low fat,FDZ04,Frozen Foods,2014,OUT013,Tier 3,High,Supermarket Type1,0.03792,9.31,61.651,5
Low Fat,FDY07,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.12185,11.8,46.8402,5
Regular,FDO45,Snack Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.03803,13.15,88.6856,5
Low Fat,FDB09,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05749,16.25,126.2046,5
Regular,FDP51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.08527,13.85,119.6124,5
Regular,FDT50,Dairy,2014,OUT013,Tier 3,High,Supermarket Type1,0.10815,6.75,95.6752,5
Regular,FDQ08,Fruits and Vegetables,2018,OUT027,Tier 3,Medium,Supermarket Type3,0.01884,,62.9536,5
Low Fat,DRL11,Hard Drinks,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04812,10.5,159.0946,5
Low Fat,FDT34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.17462,9.3,104.2964,5
Regular,FDP01,Breakfast,2011,OUT010,Tier 3,Medium,Grocery Store,0.10599,20.75,150.5682,5
Low Fat,NCJ31,Others,2014,OUT013,Tier 3,High,Supermarket Type1,0.1825,19.2,239.2196,5
Low Fat,NCL30,Household,2017,OUT035,Tier 2,Small,Supermarket Type1,0.04893,18.1,127.3336,5
LF,FDF04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01366,17.5,256.3304,5
LF,NCZ42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01131,10.5,235.5248,5
Low Fat,FDG24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01465,7.975,82.425,5
Low Fat,FDV49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02587,10,264.6226,5
Low Fat,FDX01,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0242,10.1,114.915,5
Low Fat,DRF27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02846,8.93,152.234,5
Low Fat,FDF16,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08627,7.3,147.2076,5
Low Fat,FDU04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00556,7.93,122.1414,5
Low Fat,FDP04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01383,15.35,62.7168,5
Low Fat,FDD05,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01664,19.35,120.9098,5
Low Fat,FDV07,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03133,9.5,111.1228,5
Low Fat,FDT20,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04146,10.5,39.2164,5
Low Fat,FDC44,Fruits and Vegetables,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,15.6,111.9518,5
Low Fat,DRM59,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0036,5.88,153.8998,5
Low Fat,DRG23,Hard Drinks,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.08692,8.88,153.3682,5
Low Fat,NCJ29,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03525,10.6,84.7224,5
Low Fat,NCM42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02837,6.13,110.0912,5
Low Fat,NCY42,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01519,6.38,144.947,5
Low Fat,NCX54,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04813,9.195,107.7622,5
Low Fat,NCI06,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.04779,11.3,180.766,5
Low Fat,NCQ02,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00747,12.6,186.9556,5
Low Fat,NCR38,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11369,17.25,253.4724,5
Low Fat,NCM30,Household,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0674,19.1,41.9796,5
Low Fat,FDK43,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02688,9.8,126.302,5
Low Fat,FDK21,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01003,7.905,249.6408,5
Low Fat,FDR45,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02899,10.8,239.2222,5
Low Fat,FDV09,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.0206,12.1,147.5734,5
Regular,FDU12,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07587,15.5,261.7568,5
Regular,FDZ47,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07942,20.7,99.8042,5
Regular,FDO11,Breads,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03031,8,247.4092,5
Regular,FDU49,Canned,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.03074,19.5,85.554,5
Regular,FDA02,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02977,14,145.4786,5
Regular,FDV26,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0,20.25,194.2794,5
Regular,FDA04,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.06683,11.3,257.2962,5
Regular,FDO52,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.07728,11.6,172.4106,5
Regular,FDA40,Frozen Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.09943,16,87.0856,5
Regular,FDS27,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01248,10.195,197.111,5
Regular,FDU15,Meat,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02664,13.65,37.9532,5
Regular,FDV33,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.02739,9.6,259.2304,5
Regular,FDV34,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.01144,10.695,73.5038,5
Regular,FDX46,Snack Foods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.05821,12.3,59.1562,5
low fat,NCA53,Health and Hygiene,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.00989,11.395,50.3034,5
reg,FDT24,Baking Goods,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.18615,12.35,78.2328,5
reg,FDX27,Dairy,2012,OUT049,Tier 1,Medium,Supermarket Type1,0.11429,20.7,94.9436,5
LF,NCQ38,Others,2018,OUT019,Tier 1,Small,Grocery Store,0.0234,,108.228,5
Low Fat,FDK02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.19649,,120.544,5
Low Fat,FDI15,Dairy,2018,OUT019,Tier 1,Small,Grocery Store,0.24749,,263.1884,5
Low Fat,FDE09,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.03782,,109.7228,5
Low Fat,FDS55,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.14211,,150.3734,5
Low Fat,FDZ56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.04506,,167.5474,5
Low Fat,NCA05,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.044,,148.2734,5
Low Fat,NCK29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0,,123.473,5
Low Fat,NCU29,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.04461,,145.976,5
Low Fat,NCX41,Health and Hygiene,2018,OUT019,Tier 1,Small,Grocery Store,0.03102,,210.5244,5
Low Fat,NCG07,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.09192,,189.753,5
Low Fat,NCI30,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.10319,,244.346,5
Low Fat,NCR54,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.15856,,194.711,5
Low Fat,NCT06,Household,2018,OUT019,Tier 1,Small,Grocery Store,0.06782,,167.7842,5
Low Fat,FDN15,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.0293,,140.318,5
Low Fat,FDJ45,Seafood,2018,OUT019,Tier 1,Small,Grocery Store,0.12853,,34.2216,5
Regular,FDL13,Breakfast,2018,OUT019,Tier 1,Small,Grocery Store,0.09861,,232.73,5
Regular,FDL02,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.18224,,107.1622,5
Regular,FDF56,Fruits and Vegetables,2018,OUT019,Tier 1,Small,Grocery Store,0.20916,,179.1976,5
Regular,FDQ27,Meat,2018,OUT019,Tier 1,Small,Grocery Store,0.07748,,101.399,5
Regular,FDG35,Starchy Foods,2018,OUT019,Tier 1,Small,Grocery Store,0.01233,,173.8738,5
reg,FDD38,Canned,2018,OUT019,Tier 1,Small,Grocery Store,0.01434,,103.7674,5
reg,FDE41,Frozen Foods,2018,OUT019,Tier 1,Small,Grocery Store,0,,83.7566,5
Low Fat,FDP24,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.083,20.6,119.4756,5
Low Fat,FDH38,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01044,6.425,115.8808,5
Low Fat,FDT49,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.15141,7,107.728,5
Low Fat,FDN02,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07383,16.5,208.8638,5
Low Fat,DRF27,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02842,8.93,154.534,5
Low Fat,FDT02,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02419,12.6,36.1874,5
Low Fat,FDF05,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02687,17.5,264.491,5
Low Fat,FDI45,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03758,13.1,175.5054,5
Low Fat,FDZ20,Fruits and Vegetables,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03431,16.1,252.3356,5
Low Fat,NCC42,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04491,15,140.2838,5
Low Fat,NCQ53,Health and Hygiene,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01891,17.6,234.659,5
Low Fat,NCR54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.09056,16.35,198.211,5
Low Fat,NCX06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01569,17.6,182.6976,5
Low Fat,NCO06,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.10803,19.25,32.4558,5
Low Fat,NCN54,Household,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02133,20.35,76.1328,5
Low Fat,FDL27,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01063,6.17,65.9826,5
Low Fat,FDV51,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03254,16.35,165.7842,5
Low Fat,FDC46,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.11654,17.7,182.6266,5
Low Fat,FDZ58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.05218,17.85,122.8072,5
Low Fat,FDN21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07686,18.6,161.0236,5
Low Fat,FDO58,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.03958,19.6,166.1526,5
Low Fat,DRD24,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.0308,13.85,143.3154,5
Low Fat,DRI37,Soft Drinks,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1076,15.85,58.7904,5
Regular,FDI12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1004,9.395,89.6856,5
Regular,FDP12,Baking Goods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04527,9.8,36.9874,5
Regular,FDO01,Breakfast,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02072,21.1,130.4994,5
Regular,FDZ37,Canned,2016,OUT046,Tier 1,Small,Supermarket Type1,0.01977,8.1,88.6198,5
Regular,FDJ15,Dairy,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02332,11.35,182.5608,5
Regular,FDM04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04712,9.195,53.1666,5
Regular,FDI40,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1256,11.5,100.8358,5
Regular,FDX04,Frozen Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.04157,19.6,49.9376,5
Regular,FDS15,Meat,2016,OUT046,Tier 1,Small,Supermarket Type1,0.07806,9.195,106.3596,5
Regular,FDJ57,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.02157,7.42,184.6582,5
Regular,FDG21,Seafood,2016,OUT046,Tier 1,Small,Supermarket Type1,0.1463,17.35,150.405,5
Regular,FDW21,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.00596,5.34,99.5358,5
Regular,FDX10,Snack Foods,2016,OUT046,Tier 1,Small,Supermarket Type1,0.12371,6.385,37.1874,5
LF,DRI51,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0,17.25,171.5764,5
LF,NCZ17,Health and Hygiene,2020,OUT017,Tier 2,Medium,Supermarket Type1,0,12.15,39.1506,5
LF,DRE25,Soft Drinks,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.0737,15.35,91.912,5
Low Fat,FDT60,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.0757,12,124.6388,5
Low Fat,FDN24,Baking Goods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.1135,14.1,56.1956,5
Low Fat,FDO37,Breakfast,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.02142,8.06,232.0326,5
Low Fat,FDI14,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.08986,14.1,140.2496,5
Low Fat,FDW37,Canned,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.1243,19.2,89.7488,5
Low Fat,DRC27,Dairy,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.05822,13.8,247.4802,5
Low Fat,FDK16,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.11556,9.065,96.0094,5
Low Fat,FDK41,Frozen Foods,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.1278,14.3,83.6224,5
Low Fat,FDY31,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04365,5.98,146.1418,5
Low Fat,FDT20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04148,10.5,36.8164,5
Low Fat,FDI45,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.03766,13.1,175.8054,5
Low Fat,FDG57,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.07244,14.7,48.6034,5
Low Fat,FDN32,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.01559,17.5,184.8266,5
Low Fat,FDX19,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.09693,19.1,233.8958,5
Low Fat,FDP20,Fruits and Vegetables,2015,OUT045,Tier 2,Medium,Supermarket Type1,0.04576,19.85,125.602,5
Low Fat,NCR17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02443,9.8,116.4492,5
Low Fat,NCT17,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.04195,10.8,190.0214,5
Low Fat,NCU05,Health and Hygiene,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05886,11.8,79.1618,5
Low Fat,NCT42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02494,5.88,148.4392,5
Low Fat,NCV18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.10546,6.775,84.625,5
Low Fat,NCH43,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.07071,8.42,216.4192,5
Low Fat,NCE18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.02147,10,251.675,5
Low Fat,NCC18,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.17763,19.1,173.9422,5
Low Fat,NCJ42,Household,2015,OUT045,Tier 2,Small,Supermarket Type1,0.01433,19.75,104.2332,5
Low Fat,FDQ10,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.03325,12.85,172.4422,5
Low Fat,FDL34,Snack Foods,2015,OUT045,Tier 2,Small,Supermarket Type1,0.04103,16,142.6496,5
Low Fat,DRK37,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0,5,189.853,5
Low Fat,DRF48,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.05191,5.73,188.1898,5
Low Fat,DRG49,Soft Drinks,2015,OUT045,Tier 2,Small,Supermarket Type1,0.06759,7.81,246.0486,5
Low Fat,FDX60,Baking Goods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.08105,14.35,79.196,5
Low Fat,FDS13,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.12521,6.465,266.8884,5
Low Fat,FDC50,Canned,2020,OUT017,Tier 2,Small,Supermarket Type1,0.13727,15.85,94.4094,5
Low Fat,FDK51,Dairy,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00526,19.85,264.5884,5
Low Fat,FDD17,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03281,7.5,239.6906,5
Low Fat,FDJ28,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.02198,12.3,191.2162,5
Low Fat,FDP16,Frozen Foods,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03952,18.6,243.6802,5
Low Fat,FDB20,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05227,7.72,79.1986,5
Low Fat,FDP56,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04675,8.185,49.9692,5
Low Fat,FDT43,Fruits and Vegetables,2020,OUT017,Tier 2,Small,Supermarket Type1,0.02066,16.35,50.8324,5
Low Fat,DRI59,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04107,9.5,223.5088,5
Low Fat,DRN47,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.01692,12.1,178.366,5
Low Fat,DRM23,Hard Drinks,2020,OUT017,Tier 2,Small,Supermarket Type1,0.1365,16.6,173.3422,5
Low Fat,NCN53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.03053,5.175,33.5874,5
Low Fat,NCT53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.04839,5.4,163.0526,5
Low Fat,NCQ05,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0,11.395,149.2708,5
Low Fat,NCM53,Health and Hygiene,2020,OUT017,Tier 2,Small,Supermarket Type1,0.05234,18.75,108.128,5
Low Fat,NCX42,Household,2020,OUT017,Tier 2,Small,Supermarket Type1,0.00601,6.36,163.0526,5
Low Fat,NCT18,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.05974,14.6,179.6976,5
Low Fat,NCI30,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.05927,20.25,246.446,5
Low Fat,NCE54,Household,2020,OUT017,Tier 2,High,Supermarket Type1,0.02705,20.7,73.9354,5
Low Fat,FDH19,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.03328,19.35,173.8738,5
Low Fat,FDT03,Meat,2020,OUT017,Tier 2,High,Supermarket Type1,0.01006,21.25,183.1608,5
Low Fat,NCN19,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.01217,13.1,190.253,5
Low Fat,NCQ43,Others,2020,OUT017,Tier 2,High,Supermarket Type1,0.11193,17.75,108.8912,5
Low Fat,FDK09,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.09228,15.2,227.2352,5
Low Fat,FDV46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.01268,18.2,139.818,5
Low Fat,FDY46,Snack Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.04816,18.6,188.9898,5
Regular,FDK26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.03224,5.46,187.624,5
Regular,FDI50,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.03091,8.42,227.6352,5
Regular,FDB26,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.03133,14,52.364,5
Regular,FDY49,Canned,2015,OUT045,Tier 2,High,Supermarket Type1,0.01204,17.2,165.7184,5
Regular,FDB04,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.06335,11.35,88.9856,5
Regular,FDA02,Dairy,2015,OUT045,Tier 2,High,Supermarket Type1,0.02978,14,146.3786,5
Regular,FDZ28,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.0516,20,128.0678,5
Regular,FDE17,Frozen Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.05457,20.1,152.2366,5
Regular,FDQ19,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.01439,7.35,241.3512,5
Regular,FDM08,Fruits and Vegetables,2015,OUT045,Tier 2,High,Supermarket Type1,0.05369,10.1,222.9088,5
Regular,FDP03,Meat,2015,OUT045,Tier 2,High,Supermarket Type1,0.0613,5.15,122.1388,5
Regular,FDU58,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0,6.61,186.4898,5
Regular,FDU46,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.01115,10.3,84.854,5
Regular,FDY34,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.011,10.5,167.1842,5
Regular,FDO09,Snack Foods,2015,OUT045,Tier 2,High,Supermarket Type1,0.12553,13.5,262.191,5
Regular,FDP48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.04427,7.52,181.395,5
Regular,FDI12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.10097,9.395,86.8856,5
Regular,FDY12,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.14141,9.8,50.0008,5
Regular,FDX48,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.0381,17.75,154.0656,5
Regular,FDV60,Baking Goods,2020,OUT017,Tier 2,High,Supermarket Type1,0.11803,20.2,195.811,5
Regular,FDQ47,Breads,2020,OUT017,Tier 2,High,Supermarket Type1,0.16914,7.155,35.2874,5
Regular,FDZ13,Canned,2020,OUT017,Tier 2,High,Supermarket Type1,0.15436,7.84,50.835,5
Regular,FDM04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.04739,9.195,50.8666,5
Regular,FDS04,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0.14749,10.195,141.5838,5
Regular,FDV28,Frozen Foods,2020,OUT017,Tier 2,High,Supermarket Type1,0,16.1,35.1558,5
Regular,FDU19,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.04704,8.77,170.5422,5
Regular,FDE56,Fruits and Vegetables,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.1601,17.25,61.5194,5
Regular,FDI07,Meat,2020,OUT017,Tier 2,Medium,Supermarket Type1,0.03395,12.35,197.2426,5
